"";"from_name";"NATUREZA";"modularity_class";"shares_soma_c";"likes"
"1894";"Revista Vaidapé";"Mídia Alternativa";"Esquerda";4474;48452
"1895";"Liberdade e Luta";"Sociedade Civil";"Esquerda";4454;34364
"1896";"MRT - Movimento Revolucionário de Trabalhadores";"Sociedade Civil";"Esquerda";4417;5695
"1897";"Olavo tem razão";"Criadores Digitais";"Direita";4416;14223
"1898";"Deputado Leonardo Quintão";"Políticos/partidos";"Centro";4411;57956
"1899";"Secundaristas em Luta - GO";"Sociedade Civil";"Esquerda";4409;22815
"1900";"Alencar da Silveira Jr";"Políticos/partidos";"Centro";4392;5751
"1901";"Psicose Ambientalista";"Criadores Digitais";"Direita";4386;16611
"1902";"Raimundo Angelim";"Políticos/partidos";"Centro-Esquerda";4385;16268
"1903";"Nós, mulheres da periferia";"Sociedade Civil";"Esquerda";4367;20917
"1904";"Passa Palavra";"Mídia Alternativa";"Esquerda";4364;15551
"1905";"Deputado João Daniel";"Políticos/partidos";"Centro-Esquerda";4347;13390
"1906";"Desenhista que acha que pensa";"Criadores Digitais";"Esquerda";4324;34390
"1907";"Golfe para Quem?";"Sociedade Civil";"Esquerda";4319;8354
"1908";"Manchetômetro";"Sociedade Civil";"Centro-Esquerda";4304;12636
"1909";"Deputado Ademir Camilo";"Políticos/partidos";"Centro";4299;7974
"1910";"Olyntho Neto";"Políticos/partidos";"Centro-Direita";4285;26739
"1911";"Olavo tem razão";"Criadores Digitais";"Direita";4285;4989
"1912";"Jarbas Vasconcelos";"Políticos/partidos";"Centro";4280;7003
"1913";"A Revolta de Atlas - Ayn Rand";"Criadores Digitais";"Direita";4277;8030
"1914";"Coletivo Autonomo Dos Trabalhadores Sociais - Catso";"Sociedade Civil";"Esquerda";4275;10072
"1915";"Eduardo Pinho Moreira";"Políticos/partidos";"Centro";4268;17635
"1916";"Frases sobre Coxinhas";"Criadores Digitais";"Esquerda";4261;4043
"1917";"TvCâmara Brasil";"Imprensa";"Centro";4250;28303
"1918";"Rôney Nemer";"Políticos/partidos";"Centro";4238;5341
"1919";"Sindicato Jornalistas Profissionais Rio";"Sociedade Civil";"Esquerda";4231;14065
"1920";"Brigadas Populares";"Sociedade Civil";"Esquerda";4220;16705
"1921";"Waldir Maranhão";"Políticos/partidos";"Centro";4214;43494
"1922";"Solidariedade São Paulo";"Políticos/partidos";"Centro";4211;4597
"1923";"Física da Repressão";"Criadores Digitais";"Esquerda";4186;12246
"1924";"Camarada Comunista";"Criadores Digitais";"Esquerda";4185;6560
"1925";"Núcleo Piratininga de Comunicação - NPC";"Sociedade Civil";"Esquerda";4183;6984
"1926";"Partido Pirata - Rio de Janeiro";"Sociedade Civil";"Esquerda";4154;4532
"1927";"Resiste Izidora";"Sociedade Civil";"Esquerda";4136;11024
"1928";"PSDB RS";"Políticos/partidos";"Centro-Direita";4127;7486
"1929";"Capitolina";"Mídia Alternativa";"Esquerda";4120;45457
"1930";"CUT Ceará";"Sociedade Civil";"Centro-Esquerda";4117;3578
"1931";"Marinha Raupp";"Políticos/partidos";"Centro";4106;8432
"1932";"Pretos em Luta - Poder Para o Povo";"Criadores Digitais";"Esquerda";4099;2623
"1933";"Keiko Ota";"Políticos/partidos";"Centro";4094;23712
"1934";"Angela Albino";"Políticos/partidos";"Centro-Esquerda";4092;17439
"1935";"Frente Nacional Drogas e Direitos Humanos";"Sociedade Civil";"Esquerda";4087;9694
"1936";"Mariasmarias";"Criadores Digitais";"Esquerda";4087;9664
"1937";"Destro Direitoso";"Criadores Digitais";"Direita";4085;11743
"1938";"RETRODERNO";"Criadores Digitais";"Esquerda";4082;21022
"1939";"O Estado Brasileiro - Portal de Notícias";"Mídia Alternativa";"Direita";4078;8042
"1940";"Rede Brasileira Infância e Consumo";"Sociedade Civil";"Centro-Esquerda";4070;9431
"1941";"Conquistas da Revolução Cubana";"Criadores Digitais";"Esquerda";4066;5486
"1942";"Ramalho da Construção";"Políticos/partidos";"Centro";4056;2110
"1943";"Guerrilheiros Virtuais";"Criadores Digitais";"Centro-Esquerda";4026;19088
"1944";"Orlando Tambosi";"Criadores Digitais";"Direita";4021;6243
"1945";"Lucio Mosquini";"Políticos/partidos";"Centro";4014;9304
"1946";"Lula Eu Confio";"Criadores Digitais";"Centro-Esquerda";3992;10348
"1947";"Misael Varella";"Políticos/partidos";"Centro-Direita";3988;7336
"1948";"Black Bloc São Paulo";"Criadores Digitais";"Esquerda";3983;11989
"1949";"Fábio Ramalho";"Políticos/partidos";"Centro";3970;9806
"1950";"Votenaweb";"Sociedade Civil";"Centro";3948;85318
"1951";"Dce Ufrn";"Sociedade Civil";"Centro-Esquerda";3946;15279
"1952";"Juscelino Filho";"Políticos/partidos";"Centro";3911;12764
"1953";"Deputado Augusto Carvalho";"Políticos/partidos";"Centro";3907;9699
"1954";"Livros Conservadores.";"Criadores Digitais";"Direita";3858;20444
"1955";"Cabuçu";"Políticos/partidos";"Centro";3857;8119
"1956";"1.000.000 De Curtidas Para Exilar Dilma a Cuba";"Criadores Digitais";"Direita";3854;19578
"1957";"Presidente João Baptista Figueiredo";"Criadores Digitais";"Direita";3852;16223
"1958";"Coletivo Catarse";"Sociedade Civil";"Esquerda";3843;8600
"1959";"Transparência Brasil";"Sociedade Civil";"Esquerda";3837;24645
"1960";"Frei Clemente Rojão";"Criadores Digitais";"Direita";3837;6916
"1961";"Heitor Schuch";"Políticos/partidos";"Centro";3831;4614
"1962";"Maria do Carmo Alves";"Políticos/partidos";"Centro";3830;7260
"1963";"Paulopes";"Criadores Digitais";"Esquerda";3825;5388
"1964";"Mídia Ninja PE";"Mídia Alternativa";"Esquerda";3812;3377
"1965";"PSDB PE";"Políticos/partidos";"Centro-Direita";3804;4276
"1966";"Deputado Alan Rick";"Políticos/partidos";"Centro";3800;15305
"1967";"Coxinha Opressora";"Criadores Digitais";"Direita";3778;36190
"1968";"Joaquim Passarinho";"Políticos/partidos";"Centro";3764;3361
"1969";"Braulio Braz";"Políticos/partidos";"Centro";3761;11876
"1970";"Fabio Garcia";"Políticos/partidos";"Centro";3761;40501
"1971";"PSDB DF";"Políticos/partidos";"Centro-Direita";3746;5351
"1972";"Lelo Coimbra";"Políticos/partidos";"Centro";3744;32440
"1973";"Nabor Wanderley";"Políticos/partidos";"Centro";3744;21320
"1974";"Solidariedade Mulher RN";"Sociedade Civil";"Centro";3741;3207
"1975";"Givaldo Carimbão";"Políticos/partidos";"Centro";3735;12315
"1976";"Marcha das Vadias Curitiba";"Sociedade Civil";"Esquerda";3734;11466
"1977";"Meu Partido é o Brasil";"Criadores Digitais";"Direita";3710;3946
"1978";"Movimento Contra Corrupção - Espírito Santo";"Sociedade Civil";"Direita";3705;4887
"1979";"Blog A";"Criadores Digitais";"Esquerda";3705;10994
"1980";"Luiza Maia - Deputada Estadual";"Políticos/partidos";"Centro-Esquerda";3700;12436
"1981";"midiacoletiva.org";"Mídia Alternativa";"Esquerda";3689;12501
"1982";"Casa Fora do Eixo Amapá";"Sociedade Civil";"Centro-Esquerda";3669;4628
"1983";"DIEESE";"Sociedade Civil";"Centro-Esquerda";3663;8169
"1984";"Luiz Carlos Hauly";"Políticos/partidos";"Centro-Direita";3655;14821
"1985";"Gyorgy Lukács Brasil";"Criadores Digitais";"Esquerda";3640;3529
"1986";"Bonifácio Mourão";"Políticos/partidos";"Centro-Direita";3636;11052
"1987";"São Paulo contra o PSDB";"Criadores Digitais";"Centro-Esquerda";3634;10622
"1988";"Imprensa Feminista";"Mídia Alternativa";"Esquerda";3634;33276
"1989";"Levante Popular da Juventude - RJ";"Sociedade Civil";"Esquerda";3623;7370
"1990";"Evolução Libertária";"Criadores Digitais";"Esquerda";3607;3810
"1991";"Portal EcoDebate";"Mídia Alternativa";"Centro-Esquerda";3588;16056
"1992";"Diário do Comércio";"Imprensa";"Direita";3582;16057
"1993";"PP Nacional";"Políticos/partidos";"Centro";3582;15030
"1994";"Santos FC Antifascista";"Sociedade Civil";"Esquerda";3567;5620
"1995";"Transfeminismo";"Sociedade Civil";"Esquerda";3532;25363
"1996";"Francisco Razzo";"Sociedade Civil";"Direita";3529;9562
"1997";"Criola";"Sociedade Civil";"Esquerda";3512;11694
"1998";"Direitistas Caricatos";"Criadores Digitais";"Esquerda";3503;8089
"1999";"Erros do PT. Treze anos de malfeitos";"Criadores Digitais";"Direita";3499;1051
"2000";"AJD - Associação Juízes para a Democracia";"Sociedade Civil";"Esquerda";3495;8433
"2001";"UNEafro Brasil";"Sociedade Civil";"Esquerda";3476;12696
"2002";"Jorge Côrte Real";"Políticos/partidos";"Centro";3476;16070
"2003";"Movimento estudantil, arquivos e fragmentos";"Sociedade Civil";"Esquerda";3466;6362
"2004";"Escola de Ativismo";"Sociedade Civil";"Esquerda";3457;8589
"2005";"Panelinha Opressora";"Criadores Digitais";"Direita";3449;6693
"2006";"Simone Morgado";"Políticos/partidos";"Centro";3427;10546
"2007";"Alfredo Kaefer";"Políticos/partidos";"Centro-Direita";3423;12323
"2008";"Federação Anarquista do Rio de Janeiro";"Sociedade Civil";"Esquerda";3414;12032
"2009";"Fundação Lauro Campos";"Sociedade Civil";"Esquerda";3398;14051
"2010";"Vote numa feminista";"Sociedade Civil";"Esquerda";3393;25059
"2011";"Sindipetro-RJ";"Sociedade Civil";"Esquerda";3392;2622
"2012";"Dce Unicamp";"Sociedade Civil";"Esquerda";3388;10024
"2013";"Fundação Milton Campos";"Sociedade Civil";"Centro";3369;8927
"2014";"Agência Brasil";"Imprensa";"Centro-Esquerda";3362;20755
"2015";"Partido dos Trabalhadores MT";"Políticos/partidos";"Centro-Esquerda";3356;2079
"2016";"Associação Cultural Cannábica de São Paulo";"Sociedade Civil";"Esquerda";3343;14427
"2017";"Senador Hélio José";"Políticos/partidos";"Centro";3343;6943
"2018";"José Fogaça";"Políticos/partidos";"Centro";3330;4363
"2019";"PT Sorocaba";"Políticos/partidos";"Centro-Esquerda";3316;1719
"2020";"Identidade Imperial";"Criadores Digitais";"Direita";3306;12931
"2021";"Arte Destrutiva";"Criadores Digitais";"Esquerda";3279;39197
"2022";"Benito Gama";"Políticos/partidos";"Centro";3271;13517
"2023";"Mendes Thame";"Políticos/partidos";"Centro-Direita";3244;18022
"2024";"Levante Popular da Juventude - SE";"Sociedade Civil";"Centro-Esquerda";3238;6971
"2025";"Movimento Contra Corrupção - São Paulo - Capital";"Sociedade Civil";"Direita";3224;8677
"2026";"Jornal da USP Livre";"Mídia Alternativa";"Esquerda";3219;10631
"2027";"Paraná - Um Governo em Xeque";"Criadores Digitais";"Centro-Esquerda";3216;9083
"2028";"PMDB Mulher Nacional";"Políticos/partidos";"Centro";3212;6330
"2029";"Kaio Maniçoba";"Políticos/partidos";"Centro";3204;26650
"2030";"Grupo Libertários";"Criadores Digitais";"Esquerda";3162;21516
"2031";"Wikileaks Brasil";"Mídia Alternativa";"Esquerda";3147;16912
"2032";"Instituto Ethos";"Sociedade Civil";"Centro";3124;20672
"2033";"Família em comunhão com Deus";"Criadores Digitais";"Direita";3121;2391
"2034";"PTSergipe";"Políticos/partidos";"Centro-Esquerda";3113;3214
"2035";"Spidey Antifeminista";"Criadores Digitais";"Direita";3112;16403
"2036";"Solidariedade RS";"Políticos/partidos";"Centro";3103;3634
"2037";"Nova Aliança Renovadora Nacional - Partido NOVA ARENA";"Sociedade Civil";"Direita";3097;12361
"2038";"Black Bloc Ninja";"Criadores Digitais";"Esquerda";3078;6030
"2039";"União Brasileira de Mulheres UBM";"Sociedade Civil";"Centro-Esquerda";3073;3464
"2040";"Movimento Cultural das Periferias";"Sociedade Civil";"Centro-Esquerda";3055;5774
"2041";"Partido da República";"Políticos/partidos";"Centro";3043;9913
"2042";"Hermes Rodrigues Nery";"Políticos/partidos";"Direita";3039;2739
"2043";"Mulher childfree - A original";"Sociedade Civil";"Esquerda";3018;8012
"2044";"Articulação de Mulheres Brasileiras";"Sociedade Civil";"Esquerda";3003;9229
"2045";"ITTC - Instituto Terra, Trabalho e Cidadania";"Sociedade Civil";"Esquerda";2998;8861
"2046";"Casa das Redes";"Sociedade Civil";"Centro-Esquerda";2990;4628
"2047";"PRB na Câmara";"Políticos/partidos";"Centro";2989;13467
"2048";"Deputado Osmar Serraglio";"Políticos/partidos";"Centro";2975;3123
"2049";"Vídeos Sobre a Ditadura Militar";"Criadores Digitais";"Esquerda";2954;3898
"2050";"Favela247";"Mídia Alternativa";"Esquerda";2945;16364
"2051";"Deputado Federal Nelson Marquezelli 1434";"Políticos/partidos";"Centro";2944;3733
"2052";"Voz da Direita";"Criadores Digitais";"Direita";2938;4161
"2053";"Revista EXAME";"Imprensa";"Centro";2919;168765
"2054";"DCE Livre - UFSCar";"Sociedade Civil";"Esquerda";2916;4203
"2055";"Coletivo Carranca";"Sociedade Civil";"Esquerda";2914;10230
"2056";"Eliseu Padilha";"Políticos/partidos";"Centro";2905;47921
"2057";"Fundação João Mangabeira";"Sociedade Civil";"Centro";2889;6802
"2058";"Telmário Mota";"Políticos/partidos";"Centro";2870;32932
"2059";"Naovaiterglobo";"Criadores Digitais";"Centro-Esquerda";2868;4363
"2060";"Marcha da Maconha Fortaleza";"Sociedade Civil";"Esquerda";2866;6815
"2061";"Fora Alckmin";"Criadores Digitais";"Centro-Esquerda";2862;3722
"2062";"Frente Esquerda";"Sociedade Civil";"Centro-Esquerda";2861;5247
"2063";"Cláudio Cajado";"Políticos/partidos";"Centro";2857;14514
"2064";"Fora Corruptos";"Sociedade Civil";"Direita";2834;5397
"2065";"Vem Pra Rua";"Sociedade Civil";"Direita";2828;10090
"2066";"Deputada Maria Helena";"Políticos/partidos";"Centro";2826;14255
"2067";"Radio Brasil Atual";"Mídia Alternativa";"Centro-Esquerda";2824;3840
"2068";"Escola sem Partido - Mato Grosso do Sul";"Sociedade Civil";"Direita";2813;1537
"2069";"Sindipetro Caxias";"Sociedade Civil";"Centro-Esquerda";2812;6221
"2070";"Pedro Vilela";"Políticos/partidos";"Centro-Direita";2811;29465
"2071";"Unidade Classista Nacional";"Sociedade Civil";"Esquerda";2781;3701
"2072";"Clube Farroupilha";"Sociedade Civil";"Direita";2757;13979
"2073";"Rede Emancipa";"Sociedade Civil";"Esquerda";2751;16467
"2074";"Hipocrisia Nua e Crua";"Criadores Digitais";"Direita";2741;1353
"2075";"Garotas de Direita";"Criadores Digitais";"Direita";2722;70988
"2076";"Jornal O Estado";"Imprensa";"Centro";2713;26422
"2077";"União da Juventude Comunista (UJC) - Rio de Janeiro";"Sociedade Civil";"Esquerda";2708;3638
"2078";"Cunhã Coletivo Feminista";"Sociedade Civil";"Centro-Esquerda";2690;7115
"2079";"Dr. Sinval Malheiros";"Políticos/partidos";"Centro";2680;19519
"2080";"Por que o senhor atirou em mim?";"Criadores Digitais";"Esquerda";2678;11068
"2081";"Jornal Alemão Notícias";"Mídia Alternativa";"Esquerda";2665;19078
"2082";"Espaço Comum Luiz Estrela";"Sociedade Civil";"Esquerda";2663;19825
"2083";"Ursinho do Morenismo";"Criadores Digitais";"Centro-Esquerda";2661;17196
"2084";"Benjamin Maranhão";"Políticos/partidos";"Centro";2634;10966
"2085";"O Brasil "" Atraz Dos Bastidores """;"Criadores Digitais";"Direita";2627;2061
"2086";"TV Revolta FORA Tucanalhas";"Criadores Digitais";"Centro-Esquerda";2609;3444
"2087";"MLB - Movimento de Luta nos Bairros, Vilas e Favelas";"Sociedade Civil";"Esquerda";2597;5547
"2088";"Selfie Anticomunista Fora PT";"Criadores Digitais";"Direita";2595;3299
"2089";"Programa de Formação Política";"Sociedade Civil";"Centro";2591;5959
"2090";"Prisão de Lula";"Criadores Digitais";"Direita";2580;22418
"2091";"Desmilitarização da polícia e da política";"Sociedade Civil";"Esquerda";2534;12844
"2092";"Fanfarra do M.A.L";"Sociedade Civil";"Esquerda";2523;7809
"2093";"Valter Pomar";"Políticos/partidos";"Centro-Esquerda";2520;3666
"2094";"Do Contra";"Criadores Digitais";"Direita";2492;1006
"2095";"Gustavo Corrêa";"Políticos/partidos";"Centro-Direita";2492;6111
"2096";"Núcleo Negra Zeferina";"Sociedade Civil";"Esquerda";2483;5230
"2097";"Jornalismo Júnior (ECA-USP)";"Mídia Alternativa";"Esquerda";2482;12750
"2098";"Negração Negração";"Sociedade Civil";"Esquerda";2472;9685
"2099";"Instituto Teotônio Vilela";"Sociedade Civil";"Centro-Direita";2453;9256
"2100";"FNP Petroleiros";"Sociedade Civil";"Centro-Esquerda";2444;3381
"2101";"Assassinato de Reputações";"Criadores Digitais";"Direita";2430;3148
"2102";"Mulheres Clássicas";"Criadores Digitais";"Direita";2427;8356
"2103";"Resiste Estelita";"Sociedade Civil";"Esquerda";2410;16130
"2104";"Confederação Nacional dos Jovens Empresários";"Sociedade Civil";"Direita";2392;17985
"2105";"Gira - Grupo de Estudos Feministas em Política e Educação";"Sociedade Civil";"Centro-Esquerda";2390;3184
"2106";"Movimento Brasil Livre - Paraná";"Sociedade Civil";"Direita";2383;3915
"2107";"Oxente, Anarquize";"Criadores Digitais";"Esquerda";2370;6876
"2108";"Moça, você é feminista";"Criadores Digitais";"Centro-Esquerda";2370;8071
"2109";"Esquerda Cultural";"Criadores Digitais";"Esquerda";2369;9718
"2110";"Desneuralizador";"Mídia Alternativa";"Esquerda";2368;15342
"2111";"Aliança pela Água";"Sociedade Civil";"Esquerda";2361;12872
"2112";"PHS  - Partido Humanista da Solidariedade";"Políticos/partidos";"Centro";2357;11210
"2113";"Odeio o PT e seus pseudo esquerdistas";"Criadores Digitais";"Direita";2356;5971
"2114";"Marcha das Vadias Campinas";"Sociedade Civil";"Esquerda";2350;3828
"2115";"Instituto Defesa";"Sociedade Civil";"Direita";2343;31914
"2116";"Juventude Petista SP";"Sociedade Civil";"Centro-Esquerda";2331;16462
"2117";"PSD Câmara";"Políticos/partidos";"Centro";2330;5131
"2118";"Jovem Reacionário que Sente Falta da Ditadura.";"Criadores Digitais";"Esquerda";2320;1810
"2119";"Quero que o STF julgue o Mensalão Tucano";"Criadores Digitais";"Centro-Esquerda";2315;5554
"2120";"Olhar Independente";"Criadores Digitais";"Esquerda";2313;13576
"2121";"Movimento Passe Livre Floripa";"Sociedade Civil";"Esquerda";2311;8900
"2122";"PT - Partido dos Trabalhadores - Mogi Guaçu/SP";"Políticos/partidos";"Centro-Esquerda";2310;2713
"2123";"Partido dos Trabalhadores de Jaguariúna/SP";"Políticos/partidos";"Centro-Esquerda";2288;2271
"2124";"Guerra de Informações";"Mídia Alternativa";"Direita";2269;2560
"2125";"Fórum de Juventudes do Rio de Janeiro";"Sociedade Civil";"Esquerda";2248;5347
"2126";"Senador Zeze Perrella";"Políticos/partidos";"Centro";2236;13589
"2127";"Casamento igualitário";"Sociedade Civil";"Esquerda";2234;14672
"2128";"Comuna QUE PARIU";"Sociedade Civil";"Esquerda";2225;11449
"2129";"Primavera Carioca";"Criadores Digitais";"Esquerda";2225;8941
"2130";"Reaja Contra o Genocídio do Povo Negro - São Paulo";"Sociedade Civil";"Esquerda";2224;3519
"2131";"Tribuna da Imprensa Sindical";"Mídia Alternativa";"Centro-Esquerda";2223;5430
"2132";"Advogado Antiproibicionista";"Criadores Digitais";"Esquerda";2215;10530
"2133";"Adalberto Cavalcanti";"Políticos/partidos";"Centro-Esquerda";2213;12375
"2134";"Voto PT 13";"Criadores Digitais";"Centro-Esquerda";2142;3282
"2135";"Gustavo Valadares";"Políticos/partidos";"Centro-Direita";2136;7147
"2136";"PSDB ES";"Políticos/partidos";"Centro-Direita";2128;2951
"2137";"União de Mulheres de São Paulo";"Sociedade Civil";"Esquerda";2119;4643
"2138";"Conservador";"Sociedade Civil";"Direita";2118;21738
"2139";"Movimento Contra Corrupção - Minas Gerais";"Sociedade Civil";"Esquerda";2115;8618
"2140";"Irajá Abreu";"Políticos/partidos";"Centro";2106;18330
"2141";"Planta na Mente";"Criadores Digitais";"Esquerda";2098;24712
"2142";"PSDB Goiás";"Políticos/partidos";"Centro-Direita";2092;7574
"2143";"Farofafá";"Mídia Alternativa";"Esquerda";2086;9525
"2144";"PSDB SC";"Políticos/partidos";"Centro-Direita";2067;6464
"2145";"Elas na Direita";"Criadores Digitais";"Direita";2066;14416
"2146";"Mídia Sem Máscara";"Mídia Alternativa";"Direita";2062;59470
"2147";"Marcha das Vadias Belo Horizonte";"Sociedade Civil";"Esquerda";2059;11365
"2148";"Greve Educação Estadual RJ";"Sociedade Civil";"Esquerda";2056;18787
"2149";"Paulo Hartung";"Políticos/partidos";"Centro";2047;84793
"2150";"Castelo Histórico";"Criadores Digitais";"Direita";2041;17117
"2151";"Ditadura Comunista do PT";"Criadores Digitais";"Esquerda";2025;19342
"2152";"PT no Parlamento";"Políticos/partidos";"Centro-Esquerda";2014;5367
"2153";"Arrua Coletivo";"Sociedade Civil";"Esquerda";2013;7287
"2154";"Deputado Átila Lins";"Políticos/partidos";"Centro";2011;9940
"2155";"Thiago Conservador";"Criadores Digitais";"Esquerda";1987;5426
"2156";"Contra o Genocídio Negro";"Sociedade Civil";"Esquerda";1987;7269
"2157";"Laguinho pensante";"Criadores Digitais";"Esquerda";1985;3915
"2158";"Partido Conservador CONS - São Paulo";"Sociedade Civil";"Direita";1978;2727
"2159";"Fora do Eixo";"Sociedade Civil";"Centro-Esquerda";1978;53125
"2160";"Meu Professor de Física Mentiu pra Mim";"Criadores Digitais";"Esquerda";1970;4026
"2161";"André Fufuca";"Políticos/partidos";"Centro";1967;19173
"2162";"Direita Politicamente Incorreta";"Criadores Digitais";"Direita";1945;25326
"2163";"UJS Porto Alegre";"Sociedade Civil";"Centro-Esquerda";1940;2501
"2164";"Ecos da Periferia";"Criadores Digitais";"Esquerda";1930;2289
"2165";"ANDI - Comunicação e Direitos";"Mídia Alternativa";"Esquerda";1913;7215
"2166";"CUT Paraná";"Sociedade Civil";"Centro-Esquerda";1912;6226
"2167";"FRB - Fundação Republicana Brasileira";"Sociedade Civil";"Centro";1908;18365
"2168";"Correio Do Brasil";"Mídia Alternativa";"Centro-Esquerda";1877;33503
"2169";"Índio é nós";"Criadores Digitais";"Esquerda";1875;19981
"2170";"Amanhecer Contra a Redução";"Sociedade Civil";"Centro-Esquerda";1872;39893
"2171";"Meu professor de História mentiu pra mim 2";"Criadores Digitais";"Direita";1856;4285
"2172";"Resistência Anti-Feminismo Marxista";"Sociedade Civil";"Direita";1852;41153
"2173";"Liga Democrática Liberal - LIGA";"Sociedade Civil";"Direita";1840;5315
"2174";"Canal Direita Brasil";"Criadores Digitais";"Direita";1837;3475
"2175";"Luta do Transporte no Extremo Sul";"Sociedade Civil";"Esquerda";1832;7592
"2176";"FAMURS";"Sociedade Civil";"Centro";1828;6358
"2177";"PRB Juventude Nacional";"Sociedade Civil";"Centro";1825;9863
"2178";"Frente em Defesa dos Povos Indígenas";"Sociedade Civil";"Centro-Esquerda";1825;8279
"2179";"Pizzaria Brasil";"Criadores Digitais";"Direita";1823;19955
"2180";"ILIN - Instituto Liberal do Nordeste";"Sociedade Civil";"Direita";1821;7944
"2181";"Juventude do PT-RJ";"Sociedade Civil";"Centro-Esquerda";1809;2692
"2182";"São Paulo sem Ideologia de Gênero";"Sociedade Civil";"Direita";1765;1985
"2183";"Associação Nacional dos Procuradores de Estado - ANAPE";"Sociedade Civil";"Direita";1750;8325
"2184";"Charges Ululantes";"Criadores Digitais";"Esquerda";1749;9908
"2185";"Fazendo Media";"Mídia Alternativa";"Esquerda";1744;3412
"2186";"Abaixo Corrupção";"Sociedade Civil";"Direita";1743;11650
"2187";"Coletivo Plantando Informação";"Sociedade Civil";"Esquerda";1739;3834
"2188";"Beto Faro";"Políticos/partidos";"Centro-Esquerda";1738;7932
"2189";"Mulheres Afro-Brasileiras";"Criadores Digitais";"Esquerda";1724;22850
"2190";"Ovelhas Negras";"Criadores Digitais";"Direita";1723;6860
"2191";"PSDB Mulher SP";"Sociedade Civil";"Centro-Direita";1704;3233
"2192";"Polibio Braga";"Políticos/partidos";"Direita";1701;16201
"2193";"Énois";"Mídia Alternativa";"Esquerda";1697;11513
"2194";"GloboGolpista";"Criadores Digitais";"Centro-Esquerda";1690;11606
"2195";"UEE São Paulo";"Sociedade Civil";"Centro-Esquerda";1688;11262
"2196";"Espiritualidade Libertária";"Sociedade Civil";"Esquerda";1679;5460
"2197";"Josi Nunes";"Políticos/partidos";"Centro";1674;15128
"2198";"Marcha das Vadias - Recife";"Sociedade Civil";"Esquerda";1674;11982
"2199";"Durval Ângelo";"Políticos/partidos";"Centro-Esquerda";1673;12157
"2200";"Cunhando O Golpe";"Criadores Digitais";"Centro-Esquerda";1671;9517
"2201";"Vila Autódromo";"Sociedade Civil";"Esquerda";1659;10154
"2202";"Agência Jovem de Notícias";"Mídia Alternativa";"Esquerda";1659;17668
"2203";"Levante Popular da Juventude - Minas Gerais";"Sociedade Civil";"Centro-Esquerda";1657;7199
"2204";"Brasil à Direita";"Criadores Digitais";"Direita";1648;12167
"2205";"Agentes da Lei contra a Proibição - LEAP Brasil";"Sociedade Civil";"Esquerda";1645;12823
"2206";"Voz do Movimento";"Mídia Alternativa";"Centro-Esquerda";1637;3330
"2207";"Se a Cidade Fosse Nossa";"Sociedade Civil";"Esquerda";1629;30390
"2208";"Ultras Resistência Coral";"Sociedade Civil";"Esquerda";1614;2428
"2209";"Jéssica Sales";"Políticos/partidos";"Centro";1607;6130
"2210";"João Daniel";"Políticos/partidos";"Centro-Esquerda";1607;6526
"2211";"CAHIS UERJ";"Sociedade Civil";"Centro-Esquerda";1603;2277
"2212";"Olha Isso";"Criadores Digitais";"Centro-Esquerda";1580;2287
"2213";"Escola Nacional de Formação do PT - Página Oficial";"Sociedade Civil";"Centro-Esquerda";1580;8812
"2214";"Fora Dilma e leve o PT junto #dilmavezpracuba";"Criadores Digitais";"Direita";1579;22599
"2215";"Anastácia Contemporânea";"Criadores Digitais";"Esquerda";1577;4483
"2216";"Protesto Não Para";"Criadores Digitais";"Esquerda";1574;7632
"2217";"Frente Parlamentar Ambientalista";"Políticos/partidos";"Centro";1562;7549
"2218";"A VIDA SEM PT";"Criadores Digitais";"Direita";1555;20970
"2219";"Psdb Amazonas";"Políticos/partidos";"Centro-Direita";1552;13854
"2220";"CUT Bahia";"Sociedade Civil";"Centro-Esquerda";1544;1966
"2221";"Conservador Combatente";"Criadores Digitais";"Direita";1539;2527
"2222";"Casa Fora do Eixo Minas";"Sociedade Civil";"Centro-Esquerda";1533;10870
"2223";"Mídia Latina";"Mídia Alternativa";"Direita";1520;3201
"2224";"Super Tucano";"Criadores Digitais";"Centro-Direita";1509;6683
"2225";"Libertários Anarcocapitalistas";"Criadores Digitais";"Direita";1500;4229
"2226";"Favela Fiscal";"Criadores Digitais";"Esquerda";1496;4125
"2227";"Paulo Bufalo";"Políticos/partidos";"Esquerda";1490;11026
"2228";"PSDB-MT";"Políticos/partidos";"Centro-Direita";1482;1706
"2229";"Mobilização pelos Direitos das Mulheres e Redução da Morte Materna";"Sociedade Civil";"Esquerda";1478;3858
"2230";"Ação Antifascista Curitiba";"Sociedade Civil";"Esquerda";1476;5065
"2231";"Diário do Golpe";"Sociedade Civil";"Centro-Esquerda";1474;4795
"2232";"Instituto Políticas Alternativas para o Cone Sul (PACS)";"Sociedade Civil";"Esquerda";1472;4063
"2233";"Impeachment de Dilma Rousseff";"Sociedade Civil";"Direita";1470;14917
"2234";"Ocupa Golfe";"Sociedade Civil";"Esquerda";1462;10255
"2235";"Fundação 1º de Maio";"Sociedade Civil";"Centro";1460;3408
"2236";"PT Municipal Rio";"Políticos/partidos";"Centro-Esquerda";1460;11658
"2237";"Núcleo de Consciência Negra";"Sociedade Civil";"Esquerda";1457;17708
"2238";"Revista Voto";"Mídia Alternativa";"Centro-Direita";1456;6641
